,symbol,metric,value
1916,CSX,Earnings Date,"Jan 20, 2022"
1917,CSX,Forward Dividend & Yield,0.37 (1.01%)
1918,CSX,Ex-Dividend Date,"Nov 29, 2021"
1919,CSX,1y Target Est,38.48
1920,CMI,Previous Close,210.92
1921,CMI,Open,212.37
1922,CMI,Bid,209.88 x 800
1923,CMI,Ask,218.93 x 800
1924,CMI,Day's Range,211.29 - 214.57
1925,CMI,52 Week Range,203.38 - 277.09
1926,CMI,Volume,"649,072"
1927,CMI,Avg. Volume,"968,003"
1928,CMI,Market Cap,30.605B
1929,CMI,Beta (5Y Monthly),1.07
1930,CMI,PE Ratio (TTM),14.07
1931,CMI,EPS (TTM),15.21
1932,CMI,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
1933,CMI,Forward Dividend & Yield,5.80 (2.71%)
1934,CMI,Ex-Dividend Date,"Nov 18, 2021"
1935,CMI,1y Target Est,276.52
1936,CVS,Previous Close,100.90
1937,CVS,Open,101.07
1938,CVS,Bid,101.33 x 900
1939,CVS,Ask,101.80 x 1200
1940,CVS,Day's Range,101.07 - 101.87
1941,CVS,52 Week Range,67.08 - 102.22
1942,CVS,Volume,"3,052,917"
1943,CVS,Avg. Volume,"5,798,720"
1944,CVS,Market Cap,133.735B
1945,CVS,Beta (5Y Monthly),0.81
1946,CVS,PE Ratio (TTM),17.68
1947,CVS,EPS (TTM),5.73
1948,CVS,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
1949,CVS,Forward Dividend & Yield,2.20 (2.17%)
1950,CVS,Ex-Dividend Date,"Jan 20, 2022"
1951,CVS,1y Target Est,110.25
1952,DHI,Previous Close,105.58
1953,DHI,Open,106.00
1954,DHI,Bid,104.50 x 800
1955,DHI,Ask,105.49 x 2900
1956,DHI,Day's Range,104.50 - 106.21
1957,DHI,52 Week Range,64.32 - 110.45
1958,DHI,Volume,"2,660,877"
1959,DHI,Avg. Volume,"2,687,273"
1960,DHI,Market Cap,37.371B
1961,DHI,Beta (5Y Monthly),1.62
1962,DHI,PE Ratio (TTM),9.20
1963,DHI,EPS (TTM),11.41
1964,DHI,Earnings Date,"Feb 02, 2022"
1965,DHI,Forward Dividend & Yield,0.90 (0.86%)
1966,DHI,Ex-Dividend Date,"Dec 03, 2021"
1967,DHI,1y Target Est,119.72
1968,DHR,Previous Close,319.68
1969,DHR,Open,318.41
1970,DHR,Bid,320.77 x 1800
1971,DHR,Ask,321.99 x 800
1972,DHR,Day's Range,317.64 - 322.48
1973,DHR,52 Week Range,211.22 - 333.96
1974,DHR,Volume,"1,145,079"
1975,DHR,Avg. Volume,"2,559,139"
1976,DHR,Market Cap,229.229B
1977,DHR,Beta (5Y Monthly),0.71
1978,DHR,PE Ratio (TTM),40.70
1979,DHR,EPS (TTM),7.88
1980,DHR,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
1981,DHR,Forward Dividend & Yield,0.84 (0.26%)
1982,DHR,Ex-Dividend Date,"Dec 29, 2021"
1983,DHR,1y Target Est,348.64
1984,DRI,Previous Close,145.13
1985,DRI,Open,146.79
1986,DRI,Bid,147.00 x 1000
1987,DRI,Ask,151.10 x 800
1988,DRI,Day's Range,145.63 - 149.06
1989,DRI,52 Week Range,110.89 - 164.28
1990,DRI,Volume,"1,015,577"
1991,DRI,Avg. Volume,"1,193,990"
1992,DRI,Market Cap,19.317B
1993,DRI,Beta (5Y Monthly),1.44
1994,DRI,PE Ratio (TTM),21.28
1995,DRI,EPS (TTM),6.99
1996,DRI,Earnings Date,"Mar 23, 2022 - Mar 28, 2022"
1997,DRI,Forward Dividend & Yield,4.40 (2.96%)
1998,DRI,Ex-Dividend Date,"Jan 07, 2022"
1999,DRI,1y Target Est,166.39
2000,DVA,Previous Close,109.68
2001,DVA,Open,109.64
2002,DVA,Bid,109.70 x 800
2003,DVA,Ask,112.50 x 900
2004,DVA,Day's Range,109.57 - 112.10
2005,DVA,52 Week Range,94.38 - 136.48
2006,DVA,Volume,"681,983"
2007,DVA,Avg. Volume,"871,073"
2008,DVA,Market Cap,11.354B
2009,DVA,Beta (5Y Monthly),1.20
2010,DVA,PE Ratio (TTM),13.01
2011,DVA,EPS (TTM),8.56
2012,DVA,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
2013,DVA,Forward Dividend & Yield,N/A (N/A)
2014,DVA,Ex-Dividend Date,N/A
2015,DVA,1y Target Est,125.75
2016,DE,Previous Close,347.00
2017,DE,Open,348.00
2018,DE,Bid,347.68 x 1300
2019,DE,Ask,350.26 x 800
2020,DE,Day's Range,346.30 - 351.49
2021,DE,52 Week Range,262.85 - 400.34
2022,DE,Volume,"997,846"
2023,DE,Avg. Volume,"1,652,204"
2024,DE,Market Cap,107.353B
2025,DE,Beta (5Y Monthly),1.07
2026,DE,PE Ratio (TTM),18.39
2027,DE,EPS (TTM),18.99
2028,DE,Earnings Date,"Feb 18, 2022"
2029,DE,Forward Dividend & Yield,4.20 (1.20%)
2030,DE,Ex-Dividend Date,"Dec 30, 2021"
2031,DE,1y Target Est,406.14
2032,DAL,Previous Close,39.13
2033,DAL,Open,39.72
2034,DAL,Bid,39.32 x 1200
2035,DAL,Ask,39.40 x 1400
2036,DAL,Day's Range,38.99 - 39.89
2037,DAL,52 Week Range,33.40 - 52.28
2038,DAL,Volume,"8,478,149"
2039,DAL,Avg. Volume,"13,793,785"
2040,DAL,Market Cap,25.153B
2041,DAL,Beta (5Y Monthly),1.29
2042,DAL,PE Ratio (TTM),N/A
2043,DAL,EPS (TTM),-0.11
2044,DAL,Earnings Date,"Jan 12, 2022 - Jan 17, 2022"
2045,DAL,Forward Dividend & Yield,N/A (N/A)
2046,DAL,Ex-Dividend Date,"Feb 19, 2020"
2047,DAL,1y Target Est,51.84
2048,XRAY,Previous Close,49.43
2049,XRAY,Open,50.59
2050,XRAY,Bid,51.02 x 800
2051,XRAY,Ask,51.04 x 800
2052,XRAY,Day's Range,50.21 - 51.37
2053,XRAY,52 Week Range,48.13 - 69.54
2054,XRAY,Volume,"1,082,980"
2055,XRAY,Avg. Volume,"1,498,603"
2056,XRAY,Market Cap,11.126B
2057,XRAY,Beta (5Y Monthly),0.88
2058,XRAY,PE Ratio (TTM),26.76
2059,XRAY,EPS (TTM),1.90
2060,XRAY,Earnings Date,"Feb 28, 2022 - Mar 04, 2022"
2061,XRAY,Forward Dividend & Yield,0.44 (0.91%)
2062,XRAY,Ex-Dividend Date,"Sep 23, 2021"
2063,XRAY,1y Target Est,69.42
2064,DVN,Previous Close,42.29
2065,DVN,Open,42.52
2066,DVN,Bid,42.20 x 1300
2067,DVN,Ask,42.25 x 800
2068,DVN,Day's Range,41.97 - 42.78
2069,DVN,52 Week Range,15.10 - 45.56
2070,DVN,Volume,"5,399,872"
2071,DVN,Avg. Volume,"11,283,688"
2072,DVN,Market Cap,28.468B
2073,DVN,Beta (5Y Monthly),3.07
2074,DVN,PE Ratio (TTM),20.88
2075,DVN,EPS (TTM),2.01
2076,DVN,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
2077,DVN,Forward Dividend & Yield,0.44 (1.05%)
2078,DVN,Ex-Dividend Date,"Dec 09, 2021"
2079,DVN,1y Target Est,51.27
2080,DXCM,Previous Close,572.79
2081,DXCM,Open,575.00
2082,DXCM,Bid,572.01 x 1400
2083,DXCM,Ask,590.00 x 800
2084,DXCM,Day's Range,572.01 - 579.45
2085,DXCM,52 Week Range,318.45 - 659.45
2086,DXCM,Volume,"391,486"
2087,DXCM,Avg. Volume,"675,701"
2088,DXCM,Market Cap,55.44B
2089,DXCM,Beta (5Y Monthly),0.79
2090,DXCM,PE Ratio (TTM),107.89
2091,DXCM,EPS (TTM),5.30
2092,DXCM,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
2093,DXCM,Forward Dividend & Yield,N/A (N/A)
2094,DXCM,Ex-Dividend Date,N/A
2095,DXCM,1y Target Est,639.75
2096,FANG,Previous Close,105.69
2097,FANG,Open,106.00
2098,FANG,Bid,105.24 x 800
2099,FANG,Ask,106.50 x 800
2100,FANG,Day's Range,105.24 - 107.39
2101,FANG,52 Week Range,46.19 - 117.71
2102,FANG,Volume,"1,640,062"
2103,FANG,Avg. Volume,"2,889,836"
2104,FANG,Market Cap,19.194B
2105,FANG,Beta (5Y Monthly),2.54
2106,FANG,PE Ratio (TTM),41.37
2107,FANG,EPS (TTM),2.56
2108,FANG,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
2109,FANG,Forward Dividend & Yield,2.00 (1.89%)
2110,FANG,Ex-Dividend Date,"Nov 10, 2021"
2111,FANG,1y Target Est,133.50
2112,DLR,Previous Close,171.41
2113,DLR,Open,171.53
2114,DLR,Bid,162.50 x 800
2115,DLR,Ask,175.85 x 800
2116,DLR,Day's Range,168.81 - 171.53
2117,DLR,52 Week Range,124.65 - 174.64
2118,DLR,Volume,"943,420"
2119,DLR,Avg. Volume,"1,292,960"
2120,DLR,Market Cap,48.19B
2121,DLR,Beta (5Y Monthly),0.22
2122,DLR,PE Ratio (TTM),71.62
2123,DLR,EPS (TTM),2.37
2124,DLR,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
2125,DLR,Forward Dividend & Yield,4.64 (2.73%)
2126,DLR,Ex-Dividend Date,"Dec 14, 2021"
2127,DLR,1y Target Est,172.17
2128,DFS,Previous Close,114.86
2129,DFS,Open,115.72
2130,DFS,Bid,114.96 x 900
2131,DFS,Ask,116.85 x 1100
2132,DFS,Day's Range,114.96 - 117.28
2133,DFS,52 Week Range,81.27 - 135.69
2134,DFS,Volume,"1,355,903"
2135,DFS,Avg. Volume,"1,843,849"
2136,DFS,Market Cap,33.803B
2137,DFS,Beta (5Y Monthly),1.69
2138,DFS,PE Ratio (TTM),6.90
2139,DFS,EPS (TTM),16.72
2140,DFS,Earnings Date,"Jan 18, 2022 - Jan 24, 2022"
2141,DFS,Forward Dividend & Yield,2.00 (1.73%)
2142,DFS,Ex-Dividend Date,"Nov 23, 2021"
2143,DFS,1y Target Est,141.44
2144,DISCA,Previous Close,23.63
2145,DISCA,Open,23.78
2146,DISCA,Bid,24.41 x 1000
2147,DISCA,Ask,24.65 x 800
2148,DISCA,Day's Range,23.72 - 24.64
2149,DISCA,52 Week Range,21.66 - 78.14
2150,DISCA,Volume,"4,741,943"
2151,DISCA,Avg. Volume,"6,217,493"
2152,DISCA,Market Cap,12.112B
2153,DISCA,Beta (5Y Monthly),1.32
2154,DISCA,PE Ratio (TTM),16.33
2155,DISCA,EPS (TTM),1.50
2156,DISCA,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
2157,DISCA,Forward Dividend & Yield,N/A (N/A)
2158,DISCA,Ex-Dividend Date,N/A
2159,DISCA,1y Target Est,37.95
2160,DISCK,Previous Close,22.82
2161,DISCK,Open,22.97
2162,DISCK,Bid,22.00 x 900
2163,DISCK,Ask,25.00 x 1300
2164,DISCK,Day's Range,22.95 - 23.80
2165,DISCK,52 Week Range,20.86 - 66.70
2166,DISCK,Volume,"2,394,936"
2167,DISCK,Avg. Volume,"3,548,565"
2168,DISCK,Market Cap,12.112B
2169,DISCK,Beta (5Y Monthly),1.32
2170,DISCK,PE Ratio (TTM),15.77
2171,DISCK,EPS (TTM),1.50
2172,DISCK,Earnings Date,"Nov 05, 2020"
2173,DISCK,Forward Dividend & Yield,N/A (N/A)
2174,DISCK,Ex-Dividend Date,N/A
2175,DISCK,1y Target Est,33.67
2176,DISH,Previous Close,33.25
2177,DISH,Open,32.95
2178,DISH,Bid,31.00 x 800
2179,DISH,Ask,31.36 x 1100
2180,DISH,Day's Range,31.21 - 32.95
2181,DISH,52 Week Range,28.53 - 47.05
2182,DISH,Volume,"3,362,406"
2183,DISH,Avg. Volume,"2,493,596"
2184,DISH,Market Cap,16.578B
2185,DISH,Beta (5Y Monthly),2.11
2186,DISH,PE Ratio (TTM),7.54
2187,DISH,EPS (TTM),4.16
2188,DISH,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
2189,DISH,Forward Dividend & Yield,N/A (N/A)
2190,DISH,Ex-Dividend Date,"Dec 12, 2012"
2191,DISH,1y Target Est,49.61
2192,DG,Previous Close,220.22
2193,DG,Open,220.41
2194,DG,Bid,221.00 x 1100
2195,DG,Ask,222.70 x 900
2196,DG,Day's Range,219.67 - 222.65
2197,DG,52 Week Range,173.50 - 239.35
2198,DG,Volume,"2,241,689"
2199,DG,Avg. Volume,"1,507,876"
2200,DG,Market Cap,51.283B
2201,DG,Beta (5Y Monthly),0.49
2202,DG,PE Ratio (TTM),21.63
2203,DG,EPS (TTM),10.23
2204,DG,Earnings Date,"Mar 16, 2022 - Mar 21, 2022"
2205,DG,Forward Dividend & Yield,1.68 (0.76%)
2206,DG,Ex-Dividend Date,"Jan 03, 2022"
2207,DG,1y Target Est,248.76
2208,DLTR,Previous Close,136.52
2209,DLTR,Open,136.52
2210,DLTR,Bid,136.85 x 1300
2211,DLTR,Ask,137.35 x 900
2212,DLTR,Day's Range,135.98 - 137.46
2213,DLTR,52 Week Range,84.26 - 149.37
2214,DLTR,Volume,"1,162,421"
2215,DLTR,Avg. Volume,"4,394,633"
2216,DLTR,Market Cap,30.819B
2217,DLTR,Beta (5Y Monthly),0.74
2218,DLTR,PE Ratio (TTM),23.06
2219,DLTR,EPS (TTM),5.94
2220,DLTR,Earnings Date,"Mar 01, 2022 - Mar 07, 2022"
2221,DLTR,Forward Dividend & Yield,N/A (N/A)
2222,DLTR,Ex-Dividend Date,N/A
2223,DLTR,1y Target Est,154.40
2224,D,Previous Close,77.15
2225,D,Open,77.25
2226,D,Bid,77.11 x 900
2227,D,Ask,77.32 x 1000
2228,D,Day's Range,77.01 - 77.76
2229,D,52 Week Range,67.85 - 81.08
2230,D,Volume,"1,851,108"
2231,D,Avg. Volume,"3,388,490"
2232,D,Market Cap,62.638B
2233,D,Beta (5Y Monthly),0.42
2234,D,PE Ratio (TTM),24.39
2235,D,EPS (TTM),3.17
2236,D,Earnings Date,"Feb 10, 2022 - Feb 14, 2022"
2237,D,Forward Dividend & Yield,2.52 (3.26%)
2238,D,Ex-Dividend Date,"Dec 02, 2021"
2239,D,1y Target Est,83.78
2240,DPZ,Previous Close,534.83
2241,DPZ,Open,534.15
2242,DPZ,Bid,534.00 x 800
2243,DPZ,Ask,549.00 x 900
2244,DPZ,Day's Range,534.15 - 549.14
2245,DPZ,52 Week Range,319.71 - 549.51
2246,DPZ,Volume,"337,503"
2247,DPZ,Avg. Volume,"456,868"
2248,DPZ,Market Cap,19.847B
2249,DPZ,Beta (5Y Monthly),0.53
2250,DPZ,PE Ratio (TTM),41.43
2251,DPZ,EPS (TTM),13.18
2252,DPZ,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
2253,DPZ,Forward Dividend & Yield,3.76 (0.69%)
2254,DPZ,Ex-Dividend Date,"Dec 14, 2021"
2255,DPZ,1y Target Est,526.11
2256,DOV,Previous Close,172.49
2257,DOV,Open,173.37
2258,DOV,Bid,151.00 x 800
2259,DOV,Ask,173.94 x 800
2260,DOV,Day's Range,172.73 - 174.52
2261,DOV,52 Week Range,115.88 - 178.32
2262,DOV,Volume,"470,917"
2263,DOV,Avg. Volume,"653,758"
2264,DOV,Market Cap,25.016B
2265,DOV,Beta (5Y Monthly),1.37
2266,DOV,PE Ratio (TTM),26.77
2267,DOV,EPS (TTM),6.49
2268,DOV,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
2269,DOV,Forward Dividend & Yield,2.00 (1.15%)
2270,DOV,Ex-Dividend Date,"Nov 29, 2021"
2271,DOV,1y Target Est,192.14
2272,DOW,Previous Close,54.23
2273,DOW,Open,54.50
2274,DOW,Bid,55.10 x 900
2275,DOW,Ask,55.50 x 1000
2276,DOW,Day's Range,54.35 - 55.70
2277,DOW,52 Week Range,51.33 - 71.38
2278,DOW,Volume,"6,240,414"
2279,DOW,Avg. Volume,"5,906,015"
2280,DOW,Market Cap,40.782B
2281,DOW,Beta (5Y Monthly),1.62
2282,DOW,PE Ratio (TTM),7.16
2283,DOW,EPS (TTM),7.70
2284,DOW,Earnings Date,"Jan 27, 2022"
2285,DOW,Forward Dividend & Yield,2.80 (5.16%)
2286,DOW,Ex-Dividend Date,"Nov 29, 2021"
2287,DOW,1y Target Est,65.86
2288,DTE,Previous Close,116.60
2289,DTE,Open,115.80
2290,DTE,Bid,116.65 x 1000
2291,DTE,Ask,116.73 x 800
2292,DTE,Day's Range,114.48 - 116.80
2293,DTE,52 Week Range,98.45 - 123.77
2294,DTE,Volume,"380,507"
2295,DTE,Avg. Volume,"995,541"
2296,DTE,Market Cap,22.604B
2297,DTE,Beta (5Y Monthly),0.67
2298,DTE,PE Ratio (TTM),25.84
2299,DTE,EPS (TTM),4.51
2300,DTE,Earnings Date,"Feb 17, 2022 - Feb 21, 2022"
2301,DTE,Forward Dividend & Yield,3.54 (3.04%)
2302,DTE,Ex-Dividend Date,"Dec 17, 2021"
2303,DTE,1y Target Est,126.29
2304,DUK,Previous Close,103.04
2305,DUK,Open,102.52
2306,DUK,Bid,103.32 x 800
2307,DUK,Ask,104.19 x 800
2308,DUK,Day's Range,101.88 - 103.83
2309,DUK,52 Week Range,85.56 - 108.38
2310,DUK,Volume,"2,247,969"
2311,DUK,Avg. Volume,"2,829,817"
2312,DUK,Market Cap,79.758B
2313,DUK,Beta (5Y Monthly),0.32
2314,DUK,PE Ratio (TTM),26.51
2315,DUK,EPS (TTM),3.91
2316,DUK,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
2317,DUK,Forward Dividend & Yield,3.94 (3.82%)
2318,DUK,Ex-Dividend Date,"Nov 10, 2021"
2319,DUK,1y Target Est,106.64
2320,DRE,Previous Close,62.58
2321,DRE,Open,62.57
2322,DRE,Bid,0.00 x 800
2323,DRE,Ask,0.00 x 800
2324,DRE,Day's Range,61.93 - 63.12
2325,DRE,52 Week Range,37.61 - 63.52
2326,DRE,Volume,"3,581,904"
2327,DRE,Avg. Volume,"1,531,069"
2328,DRE,Market Cap,23.647B
2329,DRE,Beta (5Y Monthly),0.62
2330,DRE,PE Ratio (TTM),25.49
2331,DRE,EPS (TTM),2.44
2332,DRE,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
2333,DRE,Forward Dividend & Yield,1.12 (1.80%)
2334,DRE,Ex-Dividend Date,"Nov 15, 2021"
2335,DRE,1y Target Est,N/A
2336,DD,Previous Close,77.00
2337,DD,Open,77.47
2338,DD,Bid,78.53 x 1300
2339,DD,Ask,79.14 x 1800
2340,DD,Day's Range,77.00 - 79.00
2341,DD,52 Week Range,66.37 - 87.27
2342,DD,Volume,"2,142,273"
2343,DD,Avg. Volume,"2,993,293"
2344,DD,Market Cap,40.692B
2345,DD,Beta (5Y Monthly),1.26
2346,DD,PE Ratio (TTM),7.26
2347,DD,EPS (TTM),10.82
2348,DD,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
2349,DD,Forward Dividend & Yield,1.20 (1.53%)
2350,DD,Ex-Dividend Date,"Nov 29, 2021"
2351,DD,1y Target Est,91.78
2352,DXC,Previous Close,31.96
2353,DXC,Open,31.99
2354,DXC,Bid,32.40 x 1000
2355,DXC,Ask,32.89 x 900
2356,DXC,Day's Range,31.96 - 32.88
2357,DXC,52 Week Range,23.08 - 44.18
2358,DXC,Volume,"1,072,776"
2359,DXC,Avg. Volume,"1,796,695"
2360,DXC,Market Cap,8.215B
2361,DXC,Beta (5Y Monthly),2.40
2362,DXC,PE Ratio (TTM),21.43
2363,DXC,EPS (TTM),1.52
2364,DXC,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
2365,DXC,Forward Dividend & Yield,N/A (N/A)
2366,DXC,Ex-Dividend Date,"Mar 24, 2020"
2367,DXC,1y Target Est,42.62
2368,EMN,Previous Close,116.16
2369,EMN,Open,116.90
2370,EMN,Bid,116.00 x 1200
2371,EMN,Ask,119.49 x 800
2372,EMN,Day's Range,116.69 - 118.44
2373,EMN,52 Week Range,96.27 - 130.47
2374,EMN,Volume,"708,093"
2375,EMN,Avg. Volume,"1,061,150"
2376,EMN,Market Cap,15.782B
2377,EMN,Beta (5Y Monthly),1.53
2378,EMN,PE Ratio (TTM),31.51
2379,EMN,EPS (TTM),3.73
2380,EMN,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
2381,EMN,Forward Dividend & Yield,3.04 (2.59%)
2382,EMN,Ex-Dividend Date,"Dec 14, 2021"
2383,EMN,1y Target Est,134.43
2384,ETN,Previous Close,166.74
2385,ETN,Open,167.27
2386,ETN,Bid,164.56 x 900
2387,ETN,Ask,173.00 x 800
2388,ETN,Day's Range,167.15 - 169.18
2389,ETN,52 Week Range,114.01 - 175.72
2390,ETN,Volume,"861,887"
2391,ETN,Avg. Volume,"1,552,384"
2392,ETN,Market Cap,66.981B
2393,ETN,Beta (5Y Monthly),1.19
2394,ETN,PE Ratio (TTM),32.61
2395,ETN,EPS (TTM),5.15
2396,ETN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
2397,ETN,Forward Dividend & Yield,3.04 (1.81%)
2398,ETN,Ex-Dividend Date,"Nov 10, 2021"
2399,ETN,1y Target Est,183.29
2400,EBAY,Previous Close,63.94
2401,EBAY,Open,64.00
2402,EBAY,Bid,64.96 x 1800
2403,EBAY,Ask,64.97 x 1800
2404,EBAY,Day's Range,63.67 - 65.43
2405,EBAY,52 Week Range,49.93 - 81.19
2406,EBAY,Volume,"6,045,397"
2407,EBAY,Avg. Volume,"7,121,400"
2408,EBAY,Market Cap,40.621B
2409,EBAY,Beta (5Y Monthly),1.14
2410,EBAY,PE Ratio (TTM),3.55
2411,EBAY,EPS (TTM),18.28
2412,EBAY,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
2413,EBAY,Forward Dividend & Yield,0.72 (1.11%)
2414,EBAY,Ex-Dividend Date,"Nov 30, 2021"
2415,EBAY,1y Target Est,78.49
2416,ECL,Previous Close,225.45
2417,ECL,Open,222.99
2418,ECL,Bid,207.49 x 1300
2419,ECL,Ask,223.27 x 1400
2420,ECL,Day's Range,220.23 - 224.24
2421,ECL,52 Week Range,201.15 - 238.93
2422,ECL,Volume,"700,598"
2423,ECL,Avg. Volume,"990,231"
2424,ECL,Market Cap,64.197B
2425,ECL,Beta (5Y Monthly),1.01
2426,ECL,PE Ratio (TTM),57.28
2427,ECL,EPS (TTM),3.91
2428,ECL,Earnings Date,"Feb 14, 2022 - Feb 21, 2022"
2429,ECL,Forward Dividend & Yield,2.04 (0.90%)
2430,ECL,Ex-Dividend Date,"Dec 13, 2021"
2431,ECL,1y Target Est,235.06
2432,EIX,Previous Close,67.62
2433,EIX,Open,67.42
2434,EIX,Bid,65.91 x 1100
2435,EIX,Ask,68.20 x 1300
2436,EIX,Day's Range,67.42 - 68.01
2437,EIX,52 Week Range,53.92 - 68.37
2438,EIX,Volume,"879,436"
2439,EIX,Avg. Volume,"2,134,925"
2440,EIX,Market Cap,25.708B
2441,EIX,Beta (5Y Monthly),0.68
2442,EIX,PE Ratio (TTM),33.72
2443,EIX,EPS (TTM),2.01
2444,EIX,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
2445,EIX,Forward Dividend & Yield,2.80 (4.14%)
2446,EIX,Ex-Dividend Date,"Dec 30, 2021"
2447,EIX,1y Target Est,71.09
2448,EW,Previous Close,127.83
2449,EW,Open,128.00
2450,EW,Bid,127.97 x 900
2451,EW,Ask,129.57 x 800
2452,EW,Day's Range,127.65 - 129.12
2453,EW,52 Week Range,78.44 - 129.12
2454,EW,Volume,"1,732,183"
2455,EW,Avg. Volume,"2,521,723"
2456,EW,Market Cap,80.271B
2457,EW,Beta (5Y Monthly),1.06
2458,EW,PE Ratio (TTM),55.30
2459,EW,EPS (TTM),2.33
2460,EW,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
2461,EW,Forward Dividend & Yield,N/A (N/A)
2462,EW,Ex-Dividend Date,N/A
2463,EW,1y Target Est,128.71
2464,EA,Previous Close,131.47
2465,EA,Open,131.28
2466,EA,Bid,132.55 x 1000
2467,EA,Ask,133.38 x 900
2468,EA,Day's Range,130.86 - 133.01
2469,EA,52 Week Range,120.08 - 150.30
2470,EA,Volume,"1,594,118"
2471,EA,Avg. Volume,"2,879,639"
2472,EA,Market Cap,37.483B
2473,EA,Beta (5Y Monthly),0.86
2474,EA,PE Ratio (TTM),48.82
2475,EA,EPS (TTM),2.71
2476,EA,Earnings Date,"Feb 01, 2022"
2477,EA,Forward Dividend & Yield,0.68 (0.51%)
2478,EA,Ex-Dividend Date,"Dec 07, 2021"
2479,EA,1y Target Est,172.27
2480,EMR,Previous Close,89.87
2481,EMR,Open,90.24
2482,EMR,Bid,91.00 x 1100
2483,EMR,Ask,91.90 x 1800
2484,EMR,Day's Range,90.17 - 91.71
2485,EMR,52 Week Range,77.76 - 105.99
2486,EMR,Volume,"2,367,799"
2487,EMR,Avg. Volume,"3,079,461"
2488,EMR,Market Cap,54.375B
2489,EMR,Beta (5Y Monthly),1.51
2490,EMR,PE Ratio (TTM),23.90
2491,EMR,EPS (TTM),3.82
2492,EMR,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
2493,EMR,Forward Dividend & Yield,2.06 (2.26%)
2494,EMR,Ex-Dividend Date,"Nov 10, 2021"
2495,EMR,1y Target Est,108.83
2496,ENPH,Previous Close,189.33
2497,ENPH,Open,190.49
2498,ENPH,Bid,187.59 x 1100
2499,ENPH,Ask,188.50 x 1100
2500,ENPH,Day's Range,186.59 - 191.29
2501,ENPH,52 Week Range,108.88 - 282.46
2502,ENPH,Volume,"1,250,547"
2503,ENPH,Avg. Volume,"2,423,231"
2504,ENPH,Market Cap,25.386B
2505,ENPH,Beta (5Y Monthly),1.30
2506,ENPH,PE Ratio (TTM),163.34
2507,ENPH,EPS (TTM),1.15
2508,ENPH,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
2509,ENPH,Forward Dividend & Yield,N/A (N/A)
2510,ENPH,Ex-Dividend Date,N/A
2511,ENPH,1y Target Est,260.92
2512,ETR,Previous Close,106.25
2513,ETR,Open,106.68
2514,ETR,Bid,96.99 x 1100
2515,ETR,Ask,108.00 x 900
2516,ETR,Day's Range,106.34 - 107.91
2517,ETR,52 Week Range,85.78 - 115.01
2518,ETR,Volume,"1,944,137"
2519,ETR,Avg. Volume,"1,352,995"
2520,ETR,Market Cap,21.587B
2521,ETR,Beta (5Y Monthly),0.61
2522,ETR,PE Ratio (TTM),17.38
2523,ETR,EPS (TTM),6.18
2524,ETR,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
2525,ETR,Forward Dividend & Yield,4.04 (3.76%)
2526,ETR,Ex-Dividend Date,"Nov 12, 2021"
2527,ETR,1y Target Est,116.92
2528,EOG,Previous Close,87.22
2529,EOG,Open,87.25
2530,EOG,Bid,86.96 x 800
2531,EOG,Ask,93.40 x 900
2532,EOG,Day's Range,86.87 - 88.23
2533,EOG,52 Week Range,48.20 - 98.20
2534,EOG,Volume,"2,458,349"
2535,EOG,Avg. Volume,"4,386,884"
2536,EOG,Market Cap,51.008B
2537,EOG,Beta (5Y Monthly),2.01
2538,EOG,PE Ratio (TTM),16.81
2539,EOG,EPS (TTM),5.19
2540,EOG,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
2541,EOG,Forward Dividend & Yield,3.00 (3.44%)
2542,EOG,Ex-Dividend Date,"Jan 13, 2022"
2543,EOG,1y Target Est,112.41
2544,EPAM,Previous Close,660.52
2545,EPAM,Open,658.26
2546,EPAM,Bid,575.20 x 800
2547,EPAM,Ask,710.00 x 900
2548,EPAM,Day's Range,656.65 - 665.41
2549,EPAM,52 Week Range,328.90 - 725.40
2550,EPAM,Volume,"271,305"
